targetMuscle,title,path_url,exercise_id,exercise_name,targetMuscles_api,secondaryMuscles_api,bodyParts_api,equipments_api,gif_url,match_score,status,search_text
abs,Leg Scissors,data/Leg-Scissors.gif,9IxJdtC,lying leg-hip raise,"[""abs""]","[""hip flexors""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/9IxJdtC.gif,56.13,matched,"lying leg-hip raise [""abs""] [""hip flexors""]"
abs,Abdominal Bracing,data/Abdominal-Bracing.gif,4Ml7QFO,hanging straight leg raise,"[""abs""]","[""hip flexors""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/4Ml7QFO.gif,53.49,matched,"hanging straight leg raise [""abs""] [""hip flexors""]"
abs,Lying Toe Touches,data/Lying-Toe-Touches.gif,9IxJdtC,lying leg-hip raise,"[""abs""]","[""hip flexors""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/9IxJdtC.gif,60.0,matched,"lying leg-hip raise [""abs""] [""hip flexors""]"
abs,Dumbbell Floor Wipers,data/Dumbbell-Floor-Wipers.gif,7RWNjiB,dumbbell lying pronation on floor,"[""forearms""]","[""biceps"", ""triceps""]","[""lower arms""]","[""dumbbell""]",https://static.exercisedb.dev/media/7RWNjiB.gif,64.0,matched,"dumbbell lying pronation on floor [""forearms""] [""biceps"", ""triceps""]"
abs,Side Bridge Hip Abduction,data/Side-Bridge-Hip-Abduction.gif,7WaDzyL,side hip abduction,"[""abductors""]","[""glutes"", ""quadriceps""]","[""upper legs""]","[""body weight""]",https://static.exercisedb.dev/media/7WaDzyL.gif,80.0,matched,"side hip abduction [""abductors""] [""glutes"", ""quadriceps""]"
abs,Cable Half Kneeling Pallof Press,data/Cable-Half-Kneeling-Pallof-Press.gif,9pa4H5m,band horizontal pallof press,"[""abs""]","[""obliques"", ""glutes""]","[""waist""]","[""band""]",https://static.exercisedb.dev/media/9pa4H5m.gif,68.0,matched,"band horizontal pallof press [""abs""] [""obliques"", ""glutes""]"
abs,Snap Jumps,data/Snap-Jumps.gif,75Bgtjy,potty squat,"[""abs""]","[""quadriceps"", ""glutes""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/75Bgtjy.gif,50.48,matched,"potty squat [""abs""] [""quadriceps"", ""glutes""]"
abs,Side Plank Leg Raises,data/Side-Plank-Leg-Raises.gif,9IxJdtC,lying leg-hip raise,"[""abs""]","[""hip flexors""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/9IxJdtC.gif,72.0,matched,"lying leg-hip raise [""abs""] [""hip flexors""]"
abs,Reverse Plank Kicks,data/Reverse-Plank-Kicks.gif,03lzqwk,assisted hanging knee raise,"[""abs""]","[""hip flexors""]","[""waist""]","[""assisted""]",https://static.exercisedb.dev/media/03lzqwk.gif,58.26,matched,"assisted hanging knee raise [""abs""] [""hip flexors""]"
abs,Hindu Push-ups,data/Hindu-Push-ups.gif,1GPHRyK,janda sit-up,"[""abs""]","[""hip flexors"", ""lower back""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/1GPHRyK.gif,63.08,matched,"janda sit-up [""abs""] [""hip flexors"", ""lower back""]"
abs,Bear Crawl,data/Bear-Crawl.gif,0Yz8WdV,bear crawl,"[""cardiovascular system""]","[""core"", ""shoulders"", ""triceps""]","[""cardio""]","[""body weight""]",https://static.exercisedb.dev/media/0Yz8WdV.gif,80.0,matched,"bear crawl [""cardiovascular system""] [""core"", ""shoulders"", ""triceps""]"
abs,High Knee Skips,data/High-Knee-Skips.gif,196HJGw,hip raise (bent knee),"[""abs""]","[""glutes"", ""hamstrings""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/196HJGw.gif,64.44,matched,"hip raise (bent knee) [""abs""] [""glutes"", ""hamstrings""]"
abs,Double Crunches,data/Double-Crunches.gif,9Ap7miY,decline crunch,"[""abs""]","[""hip flexors""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/9Ap7miY.gif,75.17,matched,"decline crunch [""abs""] [""hip flexors""]"
abs,Toe Reaches,data/Toe-Reaches.gif,8xUv4J7,cable seated crunch,"[""abs""]","[""obliques""]","[""waist""]","[""cable""]",https://static.exercisedb.dev/media/8xUv4J7.gif,52.0,matched,"cable seated crunch [""abs""] [""obliques""]"
abs,Sit-ups,data/Sit-ups.gif,2gPfomN,3/4 sit-up,"[""abs""]","[""hip flexors"", ""lower back""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/2gPfomN.gif,76.47,matched,"3/4 sit-up [""abs""] [""hip flexors"", ""lower back""]"
abs,Side Plank,data/Side-Plank.gif,5VXmnV5,bodyweight incline side plank,"[""abs""]","[""obliques"", ""shoulders""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/5VXmnV5.gif,100.0,matched,"bodyweight incline side plank [""abs""] [""obliques"", ""shoulders""]"
abs,Plank Leg Lift,data/Plank-Leg-Lift.gif,5VXmnV5,bodyweight incline side plank,"[""abs""]","[""obliques"", ""shoulders""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/5VXmnV5.gif,62.11,matched,"bodyweight incline side plank [""abs""] [""obliques"", ""shoulders""]"
abs,Plank Knee to Elbow,data/Plank-Knee-to-Elbow.gif,5VXmnV5,bodyweight incline side plank,"[""abs""]","[""obliques"", ""shoulders""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/5VXmnV5.gif,63.33,matched,"bodyweight incline side plank [""abs""] [""obliques"", ""shoulders""]"
abs,Russian Twist,data/Russian-Twist.gif,2jl9K55,spine twist,"[""abs""]","[""obliques"", ""lower back""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/2jl9K55.gif,80.0,matched,"spine twist [""abs""] [""obliques"", ""lower back""]"
